DATE,MONTH,MAX TEMPERATURE,MAX TEMP TIME,MIN TEMPERATURE,MIN TEMP TIME,MAX HUMIDITY,MAX HUMIDITY TIME,MIN HUMIDITY,MIN HUMIDITY TIME,MAX DEWPOINT,MAX DEWPOINT TIME,MIN DEWPOINT,MIN DEWPOINT TIME,MAX INDOOR TEMP,MAX INDOOR TEMP TIME,MIN INDOOR TEMP,MIN INDOOR TEMP TIME,MIN WIND CHILL, MIN WIND CHILL TIME,MAX HEAT INDEX,MAX HEAT INDEX TIME,MAX RAINFALL RATE,MAX RAINFALL RATE TIME,MAX BAROMETER (SEA),MAX BAROMETER TIME,MIN BAROMETER (SEA),MIN BAROMETER TIME,MAX WIND (GUST),MAX WIND GUST TIME,MAX WIND GUST DIRECTION,TOTAL RAINFALL FOR LAST 24 HOURS,DAYS SINCE RAIN,LAST RAIN AMOUNT,WIND RUN
1,November,+75.4,13:22,+53.4,07:05,69,20:51,20,09:22,+47.1,19:44,+21.7,09:12,+75.6,18:33,+69.3,09:41,+53.1,06:27,+74.5,14:55,0,00:00,29.88,23:59,29.79,16:48,9.2,14:37,172,0,7,0.04,63.096
2,November,+80.8,14:54,+54.1,05:47,35,00:43,10,17:19,+30.4,00:01,+3.4,23:51,+75.6,19:40,+68.9,09:39,+54,06:50,+75.6,14:54,0,00:00,30,12:03,29.88,04:33,9.6,16:29,203,0,8,0.04,73.492
3,November,+74.7,13:27,+51.6,03:29,79,20:12,10,13:27,+49.8,19:27,+3.2,00:13,+73.8,18:49,+68,09:32,+51.1,03:29,+71.8,15:52,0,00:00,29.97,00:18,29.76,23:59,12.5,14:27,208,0,9,0.04,72.374
4,November,+57.2,14:59,+41.2,23:55,92,09:11,37,10:53,+49.6,09:25,+24.3,22:49,+71.4,19:03,+68.2,23:59,+41.2,23:55,-999,00:00,0.55,06:30,29.76,01:33,29.59,20:03,15.2,14:08,54,0.31,0,0.31,39.503
5,November,+61.9,15:14,+38.1,07:39,85,08:00,27,15:41,+36.3,08:35,+25.2,17:56,+70.2,17:34,+64.4,06:47,+35.8,07:39,-999,00:00,0,00:00,29.88,23:59,29.68,00:33,11,15:45,171,0,1,0.31,58.711
6,November,+59.2,13:38,+40.1,23:59,97,21:11,37,13:45,+45,10:03,+28,23:02,+70.3,16:31,+64.6,04:35,+39.2,01:13,-999,00:00,0.39,16:53,29.88,23:59,29.82,16:48,11.2,22:40,45,0.47,0,0.47,32.111
7,November,+62.8,13:49,+37.6,04:48,90,05:21,28,14:28,+41,19:49,+27.5,14:02,+71.4,19:51,+63.7,04:28,+35.1,03:39,-999,00:00,0,00:00,30.06,23:59,29.85,04:03,9.2,12:31,240,0,1,0.47,58.964
8,November,+68.2,14:20,+42.1,06:12,73,03:16,12,15:12,+35.6,03:01,+11.5,15:12,+70.9,20:56,+65.1,04:36,+40.1,06:12,+68.5,14:20,0,00:00,30.12,10:48,30.03,16:48,9.6,14:26,257,0,2,0.47,69.795
9,November,+76.5,14:28,+43,04:10,45,00:24,10,14:36,+26.6,16:17,+10.6,09:43,+71.8,17:43,+65.5,04:37,+40.5,04:10,+72.1,14:28,0,00:00,30.12,10:03,30,17:03,7.8,13:57,239,0,3,0.47,76.689
10,November,+70.7,12:27,+49.8,05:47,25,08:00,11,12:25,+24.4,08:41,+5.5,05:48,+71.1,15:25,+66.7,04:48,+48.7,05:47,+68.7,12:27,0,00:00,30.06,08:48,29.88,23:59,8.7,11:04,206,0,4,0.47,64.557
